id,name,team,team_abbr,team_group,position,price,status,pct_selected,total_points,avg_points,form,last_round_pts,one_to_watch,is_active,first_seen_at,updated_at
488,Declan Rice,England,ENG,l,MID,7.0,playing,6.4,0.0,0.0,0.0,0.0,0,1,2026-05-27T10:27:41.928730+00:00,2026-05-31T03:31:14.988646+00:00
672,Ayase Ueda,Japan,JPN,f,FWD,7.0,playing,0.7,0.0,0.0,0.0,0.0,0,1,2026-05-27T10:27:41.928730+00:00,2026-05-31T03:31:14.988646+00:00
748,Raúl Jiménez,Mexico,MEX,a,FWD,7.0,playing,2.2,0.0,0.0,0.0,0.0,0,1,2026-05-27T10:27:41.928730+00:00,2026-05-31T03:31:14.988646+00:00
1204,Kenan Yildiz,Türkiye,TUR,d,MID,7.0,playing,4.1,0.0,0.0,0.0,0.0,0,1,2026-05-27T10:27:41.928730+00:00,2026-05-31T03:31:14.988646+00:00
1215,Arda Güler,Türkiye,TUR,d,MID,7.0,playing,8.6,0.0,0.0,0.0,0.0,0,1,2026-05-27T10:27:41.928730+00:00,2026-05-31T03:31:14.988646+00:00
1274,Christian Pulisic,USA,USA,d,MID,7.0,playing,3.9,0.0,0.0,0.0,0.0,0,1,2026-05-27T10:27:41.928730+00:00,2026-05-31T03:31:14.988646+00:00
1458,Takefusa Kubo,Japan,JPN,f,MID,7.0,playing,1.0,0.0,0.0,0.0,0.0,0,1,2026-05-27T10:27:41.928730+00:00,2026-05-31T03:31:14.988646+00:00
2040,Frenkie de Jong,Netherlands,NED,f,MID,7.0,playing,1.1,0.0,0.0,0.0,0.0,0,1,2026-05-29T16:49:14.638365+00:00,2026-05-31T03:31:14.988646+00:00
107,Marcel Sabitzer,Austria,AUT,j,MID,6.8,playing,2.4,0.0,0.0,0.0,0.0,0,1,2026-05-27T10:27:41.928730+00:00,2026-05-31T03:31:14.988646+00:00
323,Seko Fofana,Côte d'Ivoire,CIV,e,MID,6.8,playing,0.1,0.0,0.0,0.0,0.0,0,1,2026-05-27T10:27:41.928730+00:00,2026-05-31T03:31:14.988646+00:00
332,Ante Budimir,Croatia,CRO,l,FWD,6.8,playing,0.3,0.0,0.0,0.0,0.0,0,1,2026-05-27T10:27:41.928730+00:00,2026-05-31T03:31:14.988646+00:00
430,Moisés Caicedo,Ecuador,ECU,e,MID,6.8,playing,1.8,0.0,0.0,0.0,0.0,0,1,2026-05-27T10:27:41.928730+00:00,2026-05-31T03:31:14.988646+00:00
792,Ismael Saibari,Morocco,MAR,c,MID,6.8,playing,0.3,0.0,0.0,0.0,0.0,0,1,2026-05-27T10:27:41.928730+00:00,2026-05-31T03:31:14.988646+00:00
817,Quinten Timber,Netherlands,NED,f,MID,6.8,playing,0.5,0.0,0.0,0.0,0.0,0,1,2026-05-27T10:27:41.928730+00:00,2026-05-31T03:31:14.988646+00:00
856,Alexander Sørloth,Norway,NOR,i,FWD,6.8,playing,1.6,0.0,0.0,0.0,0.0,0,1,2026-05-27T10:27:41.928730+00:00,2026-05-31T03:31:14.988646+00:00
913,Diego Gómez,Paraguay,PAR,d,MID,6.8,playing,0.2,0.0,0.0,0.0,0.0,0,1,2026-05-27T10:27:41.928730+00:00,2026-05-31T03:31:14.988646+00:00
1095,Borja Iglesias,Spain,ESP,h,FWD,6.8,playing,0.1,0.0,0.0,0.0,0.0,0,1,2026-05-27T10:27:41.928730+00:00,2026-05-31T03:31:14.988646+00:00
1151,Dan Ndoye,Switzerland,SUI,b,FWD,6.8,playing,0.6,0.0,0.0,0.0,0.0,0,1,2026-05-27T10:27:41.928730+00:00,2026-05-31T03:31:14.988646+00:00
1158,Rubén Vargas,Switzerland,SUI,b,MID,6.8,playing,0.5,0.0,0.0,0.0,0.0,0,1,2026-05-27T10:27:41.928730+00:00,2026-05-31T03:31:14.988646+00:00
1361,Bruno Guimarães,Brazil,BRA,c,MID,6.8,playing,1.8,0.0,0.0,0.0,0.0,0,1,2026-05-27T10:27:41.928730+00:00,2026-05-31T03:31:14.988646+00:00
1485,Santiago Giménez,Mexico,MEX,a,FWD,6.8,playing,0.6,0.0,0.0,0.0,0.0,0,1,2026-05-27T10:27:41.928730+00:00,2026-05-31T03:31:14.988646+00:00
1998,Fabián Ruiz,Spain,ESP,h,MID,6.8,playing,1.0,0.0,0.0,0.0,0.0,0,1,2026-05-27T10:27:41.928730+00:00,2026-05-31T03:31:14.988646+00:00
112,Christoph Baumgartner,Austria,AUT,j,MID,6.7,playing,0.6,0.0,0.0,0.0,0.0,0,1,2026-05-27T10:27:41.928730+00:00,2026-05-31T03:31:14.988646+00:00
1041,Nicolas Jackson,Senegal,SEN,i,FWD,6.7,playing,0.4,0.0,0.0,0.0,0.0,0,1,2026-05-27T10:27:41.928730+00:00,2026-05-31T03:31:14.988646+00:00
56,Alexis Mac Allister,Argentina,ARG,j,MID,6.6,playing,3.0,0.0,0.0,0.0,0.0,0,1,2026-05-27T10:27:41.928730+00:00,2026-05-31T03:31:14.988646+00:00
531,Deniz Undav,Germany,GER,e,FWD,6.6,playing,0.3,0.0,0.0,0.0,0.0,0,1,2026-05-27T10:27:41.928730+00:00,2026-05-31T03:31:14.988646+00:00
912,Julio Enciso,Paraguay,PAR,d,MID,6.6,playing,0.3,0.0,0.0,0.0,0.0,0,1,2026-05-27T10:27:41.928730+00:00,2026-05-31T03:31:14.988646+00:00
1526,Leandro Trossard,Belgium,BEL,g,MID,6.6,playing,2.0,0.0,0.0,0.0,0.0,0,1,2026-05-27T10:27:41.928730+00:00,2026-05-31T03:31:14.988646+00:00
11,Riyad Mahrez,Algeria,ALG,j,MID,6.5,playing,0.8,0.0,0.0,0.0,0.0,0,1,2026-05-27T10:27:41.928730+00:00,2026-05-31T03:31:14.988646+00:00
55,Thiago Almada,Argentina,ARG,j,MID,6.5,playing,0.2,0.0,0.0,0.0,0.0,0,1,2026-05-27T10:27:41.928730+00:00,2026-05-31T03:31:14.988646+00:00
176,Gabriel Martinelli,Brazil,BRA,c,MID,6.5,playing,0.6,0.0,0.0,0.0,0.0,0,1,2026-05-27T10:27:41.928730+00:00,2026-05-31T03:31:14.988646+00:00
190,Lucas Paquetá,Brazil,BRA,c,MID,6.5,playing,0.3,0.0,0.0,0.0,0.0,0,1,2026-05-27T10:27:41.928730+00:00,2026-05-31T03:31:14.988646+00:00
270,James Rodríguez,Colombia,COL,k,MID,6.5,playing,3.6,0.0,0.0,0.0,0.0,0,1,2026-05-27T10:27:41.928730+00:00,2026-05-31T03:31:14.988646+00:00
283,Cédric Bakambu,Congo DR,COD,k,FWD,6.5,playing,0.1,0.0,0.0,0.0,0.0,0,1,2026-05-27T10:27:41.928730+00:00,2026-05-31T03:31:14.988646+00:00
348,Martin Baturina,Croatia,CRO,l,MID,6.5,playing,0.1,0.0,0.0,0.0,0.0,0,1,2026-05-27T10:27:41.928730+00:00,2026-05-31T03:31:14.988646+00:00
486,Elliot Anderson,England,ENG,l,MID,6.5,playing,1.1,0.0,0.0,0.0,0.0,0,1,2026-05-27T10:27:41.928730+00:00,2026-05-31T03:31:14.988646+00:00
515,Aurélien Tchouaméni,France,FRA,i,MID,6.5,playing,0.9,0.0,0.0,0.0,0.0,0,1,2026-05-27T10:27:41.928730+00:00,2026-05-31T03:31:14.988646+00:00
815,Xavi Simons,Netherlands,NED,f,MID,6.5,transferred,0.4,0.0,0.0,0.0,0.0,0,1,2026-05-27T10:27:41.928730+00:00,2026-05-31T03:31:14.988646+00:00
816,Tijjani Reijnders,Netherlands,NED,f,MID,6.5,playing,1.7,0.0,0.0,0.0,0.0,0,1,2026-05-27T10:27:41.928730+00:00,2026-05-31T03:31:14.988646+00:00
887,Adalberto Carrasquilla,Panama,PAN,l,MID,6.5,playing,0.1,0.0,0.0,0.0,0.0,0,1,2026-05-27T10:27:41.928730+00:00,2026-05-31T03:31:14.988646+00:00
902,Antonio Sanabria,Paraguay,PAR,d,FWD,6.5,playing,0.1,0.0,0.0,0.0,0.0,0,1,2026-05-27T10:27:41.928730+00:00,2026-05-31T03:31:14.988646+00:00
924,João Félix,Portugal,POR,k,FWD,6.5,playing,2.2,0.0,0.0,0.0,0.0,0,1,2026-05-27T10:27:41.928730+00:00,2026-05-31T03:31:14.988646+00:00
937,João Neves,Portugal,POR,k,MID,6.5,playing,3.3,0.0,0.0,0.0,0.0,0,1,2026-05-27T10:27:41.928730+00:00,2026-05-31T03:31:14.988646+00:00
1027,Scott McTominay,Scotland,SCO,c,MID,6.5,playing,12.1,0.0,0.0,0.0,0.0,0,1,2026-05-27T10:27:41.928730+00:00,2026-05-31T03:31:14.988646+00:00
1042,Iliman Ndiaye,Senegal,SEN,i,FWD,6.5,playing,0.7,0.0,0.0,0.0,0.0,0,1,2026-05-27T10:27:41.928730+00:00,2026-05-31T03:31:14.988646+00:00
1247,Giorgian de Arrascaeta,Uruguay,URU,h,MID,6.5,playing,0.7,0.0,0.0,0.0,0.0,0,1,2026-05-27T10:27:41.928730+00:00,2026-05-31T03:31:14.988646+00:00
